id,question,main category,sub category,type
1101,Does the paper report previously unpublished data?,paper category,,Boolean
1102,Does the paper report HIV sequences?,paper category,,Boolean
1103,Does the paper report the results of in vitro passage experiments?,paper category,,Boolean
1104,Does the paper report in vitro antiretroviral susceptibility data?,paper category,,Boolean
2101,Does the paper report GenBank accession numbers for sequenced HIV isolates?,Sequence information,Genbank,Boolean
2102,Does the paper report GenBank accession numbers for sequenced HIV isolates other than those for laboratory HIV isolates?,Sequence information,Genbank,Boolean
2103,Which are the genbank accession numbers reported in the paper?,Sequence information,Genbank,Categorical
2202,Does the paper report lists of mutations for individual sequenced HIV isolates?,Sequence information,Mutation,Boolean
2301,Which HIV species were studied in the paper?,Sequence information,"Species, subtype, gene",Categorical
2302,What were the subtypes of the sequenced viruses reported in the paper?,Sequence information,"Species, subtype, gene",Categorical
2303,Which HIV genes were sequenced in the paper?,Sequence information,"Species, subtype, gene",Categorical
2304,Does the paper report the results of HIV pol sequences?,Sequence information,"Species, subtype, gene",Boolean
2401,Which geographic regions and/or countries were the sequences from in the paper?,Sequence information,Geolocation and date,Categorical
2402,What years were the sequenced samples obtained in the paper?,Sequence information,Geolocation and date,Categorical
2502,Was sequencing in the paper performed using Sanger sequencing?,Sequence information,Sequencing method,Boolean
2503,Was sequencing in the paper performed using an NGS technology?,Sequence information,Sequencing method,Boolean
2504,Were samples in the paper cloned prior to sequencing?,Sequence information,Sequencing method,Boolean
2505,Did the samples in the paper undergo single genome sequencing?,Sequence information,Sequencing method,Boolean
2506,Did the samples in the paper undergo molecular cloning?,Sequence information,Sequencing method,Boolean
2601,Does the paper report the results of plasma HIV sequencing?,Sequence information,Sequence source,Boolean
