id,question,main category,sub category,type
4304,Did all of the individuals in the paper receive the same ART?,Treatment information,Drug class,Boolean
4305,Were the individuals in the paper INSTI-naive?,Treatment information,Drug class,Boolean
4403,How many individuals in the paper received more than one ART regimen?,Treatment information,Regimen,Numerical
4404,How many individuals in the paper received more than two ART regimens?,Treatment information,Regimen,Numerical
4405,Did all individuals in the paper receive the same number of ART regimens?,Treatment information,Regimen,Boolean
4406,Did all individuals in the paper receive one ART regimen?,Treatment information,Regimen,Boolean
4501,How many individuals in the paper received dolutegravir?,Treatment information,ARVs,Numerical
4502,How many individuals in the paper received darunavir?,Treatment information,ARVs,Numerical
5101,How many individuals in the paper were found to have one or more drug resistance mutation?,Drug-resistance mutations,,Numerical
5102,How many individuals in the paper were found to have INSTI-resistance mutations?,Drug-resistance mutations,,Numerical
5103,How many individuals in the paper were found to have TDF-resistance mutations?,Drug-resistance mutations,,Numerical
5104,Which INSTI-resistance mutations were reported to have developed in individuals in the paper?,Drug-resistance mutations,,Categorical
6101,What method in the paper was used on phenotypic susceptibility test?,Susceptibility,,Categorical
6102,Does the paper report IC values like IC50? IC90?,Susceptibility,,Boolean
6103,Does the paper report IC50 fold change values?,Susceptibility,,Boolean
6104,Which phenotypic susceptibility assay was used in the paper?,Susceptibility,,Categorical
6105,Dose the paper report data about replication capacity?,Susceptibility,,Boolean
6106,Which drugs were tested on phenotypic susceptibility in the paper?,Susceptibility,,Categorical
7101,Were any of the isolates described in the paper site-directed mutations?,Lab isolate,,Boolean
7102,Did any of the isolates in the paper result from in vitro passage experiments?,Lab isolate,,Boolean
