id,question,main category,sub category,type
2602,Does the paper report the results of PBMC HIV sequencing?,Sequence information,Sequence source,Boolean
2603,How many samples in the paper were reported to have undergone plasma virus sequencing?,Sequence information,Sequence source,Numerical
2604,How many samples in the paper were reported to have undergone PBMC virus sequencing?,Sequence information,Sequence source,Numerical
2605,Were sequences in the paper obtained from individuals with active HIV replication?,Sequence information,Sequence source,Boolean
2606,Were sequences in the paper obtained from the proviral DNA reservoir?,Sequence information,Sequence source,Boolean
2701,Does the paper report samples obtain from infants and/or children?,Sequence information,Individual characteristics,Boolean
2702,Were any of the individuals in the paper in a clinical trial?,Sequence information,Individual characteristics,Boolean
2703,Were all of the individuals in the paper in a clinical trial?,Sequence information,Individual characteristics,Boolean
3101,How many individuals in the paper had samples obtained for HIV sequencing?,Patient basic information,,Numerical
3102,Did all of the individuals in the paper undergo HIV sequencing?,Patient basic information,,Boolean
4101,Does the paper report HIV sequences from individuals who were ART-naive?,Treatment information,naive and experienced,Boolean
4102,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Treatment information,naive and experienced,Boolean
4103,Does the paper report HIV sequences from individuals who were ART-naive and from persons who were ART-experienced?,Treatment information,naive and experienced,Boolean
4104,How many samples in the paper were obtained from ART-naive individuals?,Treatment information,naive and experienced,Numerical
4105,Does the paper provide complete ART history for all of the individuals in the study?,Treatment information,naive and experienced,Boolean
4201,Does the paper report the prevalence of transmitted HIV drug resistance?,Treatment information,PDR and TDR,Boolean
4202,Does the paper report the prevalence of pretreatment HIV drug resistance?,Treatment information,PDR and TDR,Boolean
4301,Which drug classes were received by individuals in the paper?,Treatment information,Drug class,Categorical
4302,Does the paper report individuals who received integrase inhibitors?,Treatment information,Drug class,Boolean
4303,Does the paper report individuals who received protease inhibitors?,Treatment information,Drug class,Boolean
